acs_year,geoid,jurisdiction,geography_type,acs_period,median_household_income,median_household_income_moe,county_median_household_income,jurisdiction_county_income_ratio,jurisdiction_county_income_pct,renter_households_total,renter_households_not_computed,renter_households_computed,renter_cost_burdened_count,renter_cost_burdened_count_moe,renter_severely_burdened_count,renter_severely_burdened_count_moe,renter_cost_burdened_pct,renter_severely_burdened_pct,owner_with_mortgage_computed,owner_without_mortgage_computed,owner_households_computed,owner_with_mortgage_burdened_count,owner_without_mortgage_burdened_count,owner_cost_burdened_count,owner_cost_burdened_count_moe,owner_with_mortgage_severely_burdened_count,owner_without_mortgage_severely_burdened_count,owner_severely_burdened_count,owner_severely_burdened_count_moe,owner_cost_burdened_pct,owner_severely_burdened_pct,owner_with_mortgage_burdened_pct,owner_without_mortgage_burdened_pct,owner_with_mortgage_severely_burdened_pct,owner_without_mortgage_severely_burdened_pct,median_gross_rent_1br,median_gross_rent_1br_moe,annual_gross_rent_1br,one_br_rent_to_income_pct,median_owner_cost_with_mortgage,median_owner_cost_with_mortgage_moe,median_owner_cost_without_mortgage,median_owner_cost_without_mortgage_moe,owner_cost_with_mortgage_to_income_pct,owner_cost_without_mortgage_to_income_pct,median_owner_cost_with_mortgage_annotation,median_owner_cost_without_mortgage_annotation,median_owner_cost_with_mortgage_top_coded,median_owner_cost_without_mortgage_top_coded,owner_cost_with_mortgage_to_income_is_lower_bound,owner_cost_without_mortgage_to_income_is_lower_bound,owner_cost_with_mortgage_to_income_display,owner_cost_without_mortgage_to_income_display,median_owner_cost_with_mortgage_display,median_owner_cost_without_mortgage_display,income_source_table,renter_burden_source_table,owner_burden_source_table,one_bedroom_rent_source_table,owner_cost_source_table,source,renter_burden_definition,severe_renter_burden_definition,owner_burden_definition,severe_owner_burden_definition,rent_to_income_note,rent_to_income_metric_type,rent_to_income_denominator,owner_cost_to_income_metric_type,owner_cost_to_income_denominator,owner_cost_to_income_note
2024,06073,San Diego County (Countywide),county,2020–2024 ACS 5-year,106268.0,949.0,106268.0,1.0,100.0,532140.0,23023.0,509117.0,294194.0,4651.5,150516.0,3020.0,57.79,29.56,442325.0,191342.0,633667.0,171159.0,32553.0,203712.0,3586.5,73715.0,16772.0,90487.0,2466.9,32.15,14.28,38.7,17.01,16.67,8.77,1888.0,14.0,22656.0,21.32,3184.0,17.0,871.0,10.0,35.95,9.84,,,False,False,False,False,36.0%,9.8%,"$3,184",$871,ACS B19013,ACS B25070,ACS B25091,ACS B25031,ACS B25088,"U.S. Census Bureau, 2024 ACS 5-year",Gross rent is at least 30% of household income; not-computed households excluded,Gross rent is at least 50% of household income; not-computed households excluded,Selected monthly owner costs are at least 30% of household income; not-computed households excluded,Selected monthly owner costs are at least 50% of household income; not-computed households excluded,Benchmark based on median one-bedroom gross rent divided by median household income; not an observed household burden rate,benchmark,ACS median household income for all households,benchmark,ACS median household income for all households,Benchmark comparing median selected monthly owner costs with median household income for all households; not an observed homeowner burden rate
2024,0611194,Carlsbad,jurisdiction,2020–2024 ACS 5-year,142748.0,7547.0,106268.0,1.343,134.3,16350.0,607.0,15743.0,8903.0,850.6,4471.0,579.0,56.55,28.4,19030.0,8115.0,27145.0,6809.0,1354.0,8163.0,689.2,3114.0,649.0,3763.0,465.8,30.07,13.86,35.78,16.69,16.36,8.0,2275.0,115.0,27300.0,19.12,3741.0,129.0,1092.0,58.0,31.45,9.18,,,False,False,False,False,31.4%,9.2%,"$3,741","$1,092",ACS B19013,ACS B25070,ACS B25091,ACS B25031,ACS B25088,"U.S. Census Bureau, 2024 ACS 5-year",Gross rent is at least 30% of household income; not-computed households excluded,Gross rent is at least 50% of household income; not-computed households excluded,Selected monthly owner costs are at least 30% of household income; not-computed households excluded,Selected monthly owner costs are at least 50% of household income; not-computed households excluded,Benchmark based on median one-bedroom gross rent divided by median household income; not an observed household burden rate,benchmark,ACS median household income for all households,benchmark,ACS median household income for all households,Benchmark comparing median selected monthly owner costs with median household income for all households; not an observed homeowner burden rate
2024,0613392,Chula Vista,jurisdiction,2020–2024 ACS 5-year,108032.0,2863.0,106268.0,1.017,101.7,34429.0,1661.0,32768.0,20390.0,1236.6,10970.0,863.0,62.23,33.48,36887.0,14013.0,50900.0,15308.0,1835.0,17143.0,1154.6,6147.0,993.0,7140.0,742.0,33.68,14.03,41.5,13.09,16.66,7.09,1822.0,76.0,21864.0,20.24,3090.0,61.0,806.0,46.0,34.32,8.95,,,False,False,False,False,34.3%,8.9%,"$3,090",$806,ACS B19013,ACS B25070,ACS B25091,ACS B25031,ACS B25088,"U.S. Census Bureau, 2024 ACS 5-year",Gross rent is at least 30% of household income; not-computed households excluded,Gross rent is at least 50% of household income; not-computed households excluded,Selected monthly owner costs are at least 30% of household income; not-computed households excluded,Selected monthly owner costs are at least 50% of household income; not-computed households excluded,Benchmark based on median one-bedroom gross rent divided by median household income; not an observed household burden rate,benchmark,ACS median household income for all households,benchmark,ACS median household income for all households,Benchmark comparing median selected monthly owner costs with median household income for all households; not an observed homeowner burden rate
2024,0616378,Coronado,jurisdiction,2020–2024 ACS 5-year,134534.0,11789.0,106268.0,1.266,126.6,3312.0,64.0,3248.0,2003.0,326.7,1052.0,250.0,61.67,32.39,2165.0,1801.0,3966.0,1069.0,464.0,1533.0,250.5,671.0,189.0,860.0,153.4,38.65,21.68,49.38,25.76,30.99,10.49,2343.0,163.0,28116.0,20.9,4001.0,,1427.0,158.0,35.69,12.73,"4,000+",,False,False,False,False,35.7%,12.7%,"$4,001","$1,427",ACS B19013,ACS B25070,ACS B25091,ACS B25031,ACS B25088,"U.S. Census Bureau, 2024 ACS 5-year",Gross rent is at least 30% of household income; not-computed households excluded,Gross rent is at least 50% of household income; not-computed households excluded,Selected monthly owner costs are at least 30% of household income; not-computed households excluded,Selected monthly owner costs are at least 50% of household income; not-computed households excluded,Benchmark based on median one-bedroom gross rent divided by median household income; not an observed household burden rate,benchmark,ACS median household income for all households,benchmark,ACS median household income for all households,Benchmark comparing median selected monthly owner costs with median household income for all households; not an observed homeowner burden rate
2024,0618506,Del Mar,jurisdiction,2020–2024 ACS 5-year,199152.0,30303.0,106268.0,1.874,187.4,868.0,30.0,838.0,381.0,167.9,234.0,147.0,45.47,27.92,551.0,436.0,987.0,222.0,37.0,259.0,92.0,136.0,21.0,157.0,70.6,26.24,15.91,40.29,8.49,24.68,4.82,3003.0,409.0,36036.0,18.09,4001.0,,1208.0,470.0,24.11,7.28,"4,000+",,False,False,False,False,24.1%,7.3%,"$4,001","$1,208",ACS B19013,ACS B25070,ACS B25091,ACS B25031,ACS B25088,"U.S. Census Bureau, 2024 ACS 5-year",Gross rent is at least 30% of household income; not-computed households excluded,Gross rent is at least 50% of household income; not-computed households excluded,Selected monthly owner costs are at least 30% of household income; not-computed households excluded,Selected monthly owner costs are at least 50% of household income; not-computed households excluded,Benchmark based on median one-bedroom gross rent divided by median household income; not an observed household burden rate,benchmark,ACS median household income for all households,benchmark,ACS median household income for all households,Benchmark comparing median selected monthly owner costs with median household income for all households; not an observed homeowner burden rate
2024,0621712,El Cajon,jurisdiction,2020–2024 ACS 5-year,67511.0,4257.0,106268.0,0.635,63.5,19824.0,1054.0,18770.0,13157.0,998.4,7642.0,729.0,70.1,40.71,9890.0,4134.0,14024.0,4082.0,923.0,5005.0,626.5,2050.0,499.0,2549.0,508.8,35.69,18.18,41.27,22.33,20.73,12.07,1650.0,43.0,19800.0,29.33,2722.0,111.0,787.0,59.0,48.38,13.99,,,False,False,False,False,48.4%,14.0%,"$2,722",$787,ACS B19013,ACS B25070,ACS B25091,ACS B25031,ACS B25088,"U.S. Census Bureau, 2024 ACS 5-year",Gross rent is at least 30% of household income; not-computed households excluded,Gross rent is at least 50% of household income; not-computed households excluded,Selected monthly owner costs are at least 30% of household income; not-computed households excluded,Selected monthly owner costs are at least 50% of household income; not-computed households excluded,Benchmark based on median one-bedroom gross rent divided by median household income; not an observed household burden rate,benchmark,ACS median household income for all households,benchmark,ACS median household income for all households,Benchmark comparing median selected monthly owner costs with median household income for all households; not an observed homeowner burden rate
2024,0622678,Encinitas,jurisdiction,2020–2024 ACS 5-year,162229.0,10306.0,106268.0,1.527,152.7,8027.0,250.0,7777.0,3970.0,582.5,1957.0,411.0,51.05,25.16,9792.0,6028.0,15820.0,3374.0,1031.0,4405.0,487.2,1504.0,624.0,2128.0,361.7,27.84,13.45,34.46,17.1,15.36,10.35,2233.0,100.0,26796.0,16.52,4001.0,,993.0,66.0,29.6,7.35,"4,000+",,False,False,False,False,29.6%,7.3%,"$4,001",$993,ACS B19013,ACS B25070,ACS B25091,ACS B25031,ACS B25088,"U.S. Census Bureau, 2024 ACS 5-year",Gross rent is at least 30% of household income; not-computed households excluded,Gross rent is at least 50% of household income; not-computed households excluded,Selected monthly owner costs are at least 30% of household income; not-computed households excluded,Selected monthly owner costs are at least 50% of household income; not-computed households excluded,Benchmark based on median one-bedroom gross rent divided by median household income; not an observed household burden rate,benchmark,ACS median household income for all households,benchmark,ACS median household income for all households,Benchmark comparing median selected monthly owner costs with median household income for all households; not an observed homeowner burden rate
2024,0622804,Escondido,jurisdiction,2020–2024 ACS 5-year,91967.0,3679.0,106268.0,0.865,86.5,23457.0,1181.0,22276.0,13845.0,1030.0,7484.0,745.0,62.15,33.6,18577.0,7992.0,26569.0,7154.0,1609.0,8763.0,869.1,2639.0,982.0,3621.0,588.5,32.98,13.63,38.51,20.13,14.21,12.29,1683.0,48.0,20196.0,21.96,2869.0,71.0,850.0,43.0,37.44,11.09,,,False,False,False,False,37.4%,11.1%,"$2,869",$850,ACS B19013,ACS B25070,ACS B25091,ACS B25031,ACS B25088,"U.S. Census Bureau, 2024 ACS 5-year",Gross rent is at least 30% of household income; not-computed households excluded,Gross rent is at least 50% of household income; not-computed households excluded,Selected monthly owner costs are at least 30% of household income; not-computed households excluded,Selected monthly owner costs are at least 50% of household income; not-computed households excluded,Benchmark based on median one-bedroom gross rent divided by median household income; not an observed household burden rate,benchmark,ACS median household income for all households,benchmark,ACS median household income for all households,Benchmark comparing median selected monthly owner costs with median household income for all households; not an observed homeowner burden rate
2024,0636294,Imperial Beach,jurisdiction,2020–2024 ACS 5-year,86111.0,9539.0,106268.0,0.81,81.0,6412.0,300.0,6112.0,3670.0,505.9,1654.0,327.0,60.05,27.06,1998.0,914.0,2912.0,746.0,125.0,871.0,207.7,258.0,91.0,349.0,112.1,29.91,11.98,37.34,13.68,12.91,9.96,1746.0,75.0,20952.0,24.33,2659.0,269.0,597.0,84.0,37.05,8.32,,,False,False,False,False,37.0%,8.3%,"$2,659",$597,ACS B19013,ACS B25070,ACS B25091,ACS B25031,ACS B25088,"U.S. Census Bureau, 2024 ACS 5-year",Gross rent is at least 30% of household income; not-computed households excluded,Gross rent is at least 50% of household income; not-computed households excluded,Selected monthly owner costs are at least 30% of household income; not-computed households excluded,Selected monthly owner costs are at least 50% of household income; not-computed households excluded,Benchmark based on median one-bedroom gross rent divided by median household income; not an observed household burden rate,benchmark,ACS median household income for all households,benchmark,ACS median household income for all households,Benchmark comparing median selected monthly owner costs with median household income for all households; not an observed homeowner burden rate
2024,0640004,La Mesa,jurisdiction,2020–2024 ACS 5-year,95028.0,7968.0,106268.0,0.894,89.4,13105.0,515.0,12590.0,7653.0,859.0,3443.0,476.0,60.79,27.35,8315.0,3561.0,11876.0,2878.0,458.0,3336.0,469.0,1058.0,243.0,1301.0,236.1,28.09,10.95,34.61,12.86,12.72,6.82,1788.0,84.0,21456.0,22.58,2980.0,126.0,755.0,52.0,37.63,9.53,,,False,False,False,False,37.6%,9.5%,"$2,980",$755,ACS B19013,ACS B25070,ACS B25091,ACS B25031,ACS B25088,"U.S. Census Bureau, 2024 ACS 5-year",Gross rent is at least 30% of household income; not-computed households excluded,Gross rent is at least 50% of household income; not-computed households excluded,Selected monthly owner costs are at least 30% of household income; not-computed households excluded,Selected monthly owner costs are at least 50% of household income; not-computed households excluded,Benchmark based on median one-bedroom gross rent divided by median household income; not an observed household burden rate,benchmark,ACS median household income for all households,benchmark,ACS median household income for all households,Benchmark comparing median selected monthly owner costs with median household income for all households; not an observed homeowner burden rate
