NAME,B19013_001E,B19013_001M,state,place
"Acalanes Ridge CDP, California",181094,54426,06,00135
"Acampo CDP, California",-666666666,-222222222,06,00156
"Acton CDP, California",113000,20161,06,00212
"Adelanto city, California",68685,6234,06,00296
"Adin CDP, California",29375,22023,06,00310
"Agoura Hills city, California",171302,16618,06,00394
"Agua Dulce CDP, California",146107,18355,06,00450
"Aguanga CDP, California",79808,45084,06,00464
"Ahwahnee CDP, California",77391,29653,06,00478
"Airport CDP, California",32159,31581,06,00535
"Alameda city, California",137697,5003,06,00562
"Alamo CDP, California",250001,-333333333,06,00618
"Albany city, California",144107,12208,06,00674
"Albion CDP, California",-666666666,-222222222,06,00716
"Alderpoint CDP, California",-666666666,-222222222,06,00786
"Alhambra city, California",88024,4352,06,00884
"Alhambra Valley CDP, California",206063,67302,06,00898
"Aliso Viejo city, California",142439,11501,06,00947
"Alleghany CDP, California",-666666666,-222222222,06,00982
"Allendale CDP, California",107679,32804,06,00996
"Allensworth CDP, California",55714,5494,06,01010
"Almanor CDP, California",-666666666,-222222222,06,01094
"Alondra Park CDP, California",87169,11185,06,01150
"Alpaugh CDP, California",37000,25020,06,01164
"Alpine CDP, California",108660,7667,06,01192
"Alpine Village CDP, California",78750,44878,06,01228
"Alta CDP, California",96792,11097,06,01276
"Altadena CDP, California",128720,12031,06,01290
"Alta Sierra CDP (Kern County), California",-666666666,-222222222,06,01358
"Alta Sierra CDP (Nevada County), California",105603,19540,06,01360
"Alto CDP, California",129191,123241,06,01416
"Alturas city, California",59896,15615,06,01444
"Alum Rock CDP, California",126705,23062,06,01458
"Amador City city, California",107917,48834,06,01514
"Amador Pines CDP, California",83958,25366,06,01518
"American Canyon city, California",121700,11895,06,01640
"Amesti CDP, California",108833,24953,06,01651
"Anaheim city, California",95227,2995,06,02000
"Anchor Bay CDP, California",88194,68777,06,02028
"Anderson city, California",47375,6676,06,02042
"Angels city, California",62188,15282,06,02112
"Angwin CDP, California",117500,30983,06,02168
"Antelope CDP, California",99067,5833,06,02210
"Antioch city, California",97465,5717,06,02252
"Anza CDP, California",83558,64302,06,02294
"Apple Valley town, California",69882,5843,06,02364
"Aptos CDP, California",134048,16517,06,02378
"Aptos Hills-Larkin Valley CDP, California",158788,1704,06,02382
"Arbuckle CDP, California",86942,6569,06,02420
"Arcadia city, California",113516,10005,06,02462
"Arcata city, California",46713,7736,06,02476
"Arden-Arcade CDP, California",77321,4493,06,02553
"Armona CDP, California",64276,16310,06,02700
"Arnold CDP, California",92467,20501,06,02770
"Aromas CDP, California",148438,66260,06,02812
"Arroyo Grande city, California",102553,16494,06,02868
"Artesia city, California",101004,16448,06,02896
"Artois CDP, California",152719,64417,06,02910
"Arvin city, California",49183,3904,06,02924
"Ashland CDP, California",81702,6130,06,02980
"Aspen Springs CDP, California",131673,23049,06,03026
"Atascadero city, California",91429,6847,06,03064
"Atherton town, California",250001,-333333333,06,03092
"Atwater city, California",64472,5226,06,03162
"Auberry CDP, California",78512,10806,06,03190
"Auburn city, California",82674,8466,06,03204
"Auburn Lake Trails CDP, California",134007,34818,06,03205
"August CDP, California",53173,18156,06,03209
"Avalon city, California",105139,27326,06,03274
"Avenal city, California",54741,8162,06,03302
"Avery CDP, California",47056,22505,06,03316
"Avila Beach CDP, California",218259,162989,06,03330
"Avocado Heights CDP, California",92155,18209,06,03344
"Azusa city, California",90721,5402,06,03386
"Baker CDP, California",-666666666,-222222222,06,03512
"Bakersfield city, California",80540,2119,06,03526
"Bakersfield Country Club CDP, California",102266,28628,06,03546
"Baldwin Park city, California",80663,3146,06,03666
"Ballard CDP, California",140833,75686,06,03694
"Ballico CDP, California",171875,100475,06,03708
"Bangor CDP, California",120347,47528,06,03792
"Banning city, California",61764,4511,06,03820
"Barstow city, California",53380,9390,06,04030
"Bass Lake CDP, California",133964,72882,06,04198
"Bay Point CDP, California",82565,5162,06,04415
"Bayview CDP (Contra Costa County), California",162537,69689,06,04470
"Bayview CDP (Humboldt County), California",48406,21748,06,04478
"Baywood Park CDP, California",217206,91601,06,04549
"Beale AFB CDP, California",70061,18008,06,04576
"Bear Creek CDP, California",153088,111091,06,04632
"Bear Valley CDP (Alpine County), California",-666666666,-222222222,06,04716
"Bear Valley CDP (Mariposa County), California",-666666666,-222222222,06,04730
"Bear Valley Springs CDP, California",120481,18669,06,04734
"Beaumont city, California",107118,9704,06,04758
"Beckwourth CDP, California",-666666666,-222222222,06,04772
"Belden CDP, California",-666666666,-222222222,06,04856
"Bell city, California",61020,4687,06,04870
"Bella Vista CDP, California",90566,11419,06,04926
"Bell Canyon CDP, California",250001,-333333333,06,04938
"Bellflower city, California",78722,4435,06,04982
"Bell Gardens city, California",62298,2818,06,04996
"Belmont city, California",205297,18232,06,05108
"Belvedere city, California",250001,-333333333,06,05164
"Benbow CDP, California",56667,51964,06,05262
"Bend CDP, California",-666666666,-222222222,06,05276
"Benicia city, California",121204,7026,06,05290
"Ben Lomond CDP, California",130041,13062,06,05332
"Benton CDP, California",68027,43054,06,05346
"Benton Park CDP, California",49717,23950,06,05356
"Berkeley city, California",108092,5765,06,06000
"Bermuda Dunes CDP, California",90818,11748,06,06028
"Berry Creek CDP, California",45673,26972,06,06070
"Bertsch-Oceanview CDP, California",73173,11226,06,06150
"Bethel Island CDP, California",74972,23097,06,06210
"Beverly Hills city, California",132977,14628,06,06308
"Bieber CDP, California",-666666666,-222222222,06,06336
"Big Bear City CDP, California",71511,7362,06,06406
"Big Bear Lake city, California",76250,5405,06,06434
"Big Bend CDP, California",26875,18699,06,06475
"Big Creek CDP, California",-666666666,-222222222,06,06518
"Biggs city, California",84914,23410,06,06560
"Big Lagoon CDP, California",57438,29460,06,06567
"Big Pine CDP, California",67583,19599,06,06616
"Big River CDP, California",39773,13940,06,06635
"Biola CDP, California",43185,15735,06,06728
"Bishop city, California",83686,13471,06,06798
"Blackhawk CDP, California",245208,27390,06,06928
"Blacklake CDP, California",99417,64715,06,06935
"Black Point-Green Point CDP, California",168438,125718,06,06982
"Blairsden CDP, California",-666666666,-222222222,06,06994
"Bloomfield CDP, California",142422,140331,06,07036
"Bloomington CDP, California",81640,4244,06,07064
"Blue Lake city, California",53594,10211,06,07162
"Bluewater CDP, California",55500,27895,06,07172
"Blythe city, California",56625,12452,06,07218
"Bodega CDP, California",90625,82478,06,07246
"Bodega Bay CDP, California",182898,73834,06,07260
"Bodfish CDP, California",39863,6014,06,07274
"Bolinas CDP, California",100625,57069,06,07316
"Bombay Beach CDP, California",-666666666,-222222222,06,07372
"Bonadelle Ranchos CDP, California",132723,35062,06,07378
"Bonita CDP, California",118674,11367,06,07414
"Bonny Doon CDP, California",144813,41772,06,07470
"Bonsall CDP, California",113537,9851,06,07498
"Boonville CDP, California",42188,14594,06,07512
"Bootjack CDP, California",105000,101693,06,07525
"Boron CDP, California",53170,17163,06,07568
"Boronda CDP, California",63125,44695,06,07578
"Borrego Springs CDP, California",86078,28673,06,07596
"Bostonia CDP, California",78878,14324,06,07624
"Boulder Creek CDP, California",84156,20287,06,07652
"Boulevard CDP, California",78217,23654,06,07694
"Bowles CDP, California",-666666666,-222222222,06,07750
"Boyes Hot Springs CDP, California",101288,25377,06,07848
"Bradbury city, California",171696,56270,06,07946
"Bradley CDP, California",-666666666,-222222222,06,07974
"Brawley city, California",59311,6287,06,08058
"Brea city, California",131129,11525,06,08100
"Brentwood city, California",142494,8669,06,08142
"Bret Harte CDP, California",52500,26879,06,08172
"Bridgeport CDP, California",120850,69357,06,08240
"Brisbane city, California",156169,39706,06,08310
"Broadmoor CDP, California",167396,63686,06,08338
"Brookdale CDP, California",87358,9902,06,08478
"Brooks CDP, California",-666666666,-222222222,06,08506
"Brooktrails CDP, California",116056,24636,06,08530
"Buckhorn CDP, California",90045,10915,06,08680
"Buck Meadows CDP, California",-666666666,-222222222,06,08716
"Bucks Lake CDP, California",-666666666,-222222222,06,08744
"Buellton city, California",99936,26790,06,08758
"Buena Park city, California",110550,4245,06,08786
