NAME,B25031_001E,B25031_001M,B25031_002E,B25031_002M,B25031_003E,B25031_003M,B25031_004E,B25031_004M,B25031_005E,B25031_005M,B25031_006E,B25031_006M,B25031_007E,B25031_007M,state,place
"Acalanes Ridge CDP, California",3501,-333333333,-666666666,-222222222,-666666666,-222222222,3501,-333333333,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,06,00135
"Acampo CDP, California",-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,06,00156
"Acton CDP, California",3056,2092,-666666666,-222222222,-666666666,-222222222,1167,903,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,06,00212
"Adelanto city, California",1437,117,981,164,1062,102,1314,93,1715,301,1918,231,1934,305,06,00296
"Adin CDP, California",-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,06,00310
"Agoura Hills city, California",3218,230,-666666666,-222222222,3076,277,3002,487,3501,-333333333,3501,-333333333,3501,-333333333,06,00394
"Agua Dulce CDP, California",3501,-333333333,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,3501,-333333333,-666666666,-222222222,06,00450
"Aguanga CDP, California",797,590,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,06,00464
"Ahwahnee CDP, California",2417,1500,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,2519,1446,-666666666,-222222222,-666666666,-222222222,06,00478
"Airport CDP, California",1210,154,-666666666,-222222222,-666666666,-222222222,1260,366,1171,269,-666666666,-222222222,-666666666,-222222222,06,00535
"Alameda city, California",2474,62,1895,205,2178,76,2702,67,3270,542,3501,-333333333,-666666666,-222222222,06,00562
"Alamo CDP, California",3501,-333333333,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,3501,-333333333,3501,-333333333,-666666666,-222222222,06,00618
"Albany city, California",2445,61,2092,161,2081,134,2501,93,3501,-333333333,2941,706,-666666666,-222222222,06,00674
"Albion CDP, California",-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,06,00716
"Alderpoint CDP, California",-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,06,00786
"Alhambra city, California",1939,39,1523,144,1646,51,2070,51,2457,171,2352,446,3076,1529,06,00884
"Alhambra Valley CDP, California",-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,06,00898
