NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,state,place
"Acalanes Ridge CDP, California",111,63,0,14,15,23,0,14,32,45,0,14,0,14,0,14,33,38,8,12,23,27,06,00135
"Acampo CDP, California",68,105,0,14,0,14,0,14,0,14,0,14,0,14,0,14,68,105,0,14,0,14,06,00156
"Acton CDP, California",214,118,0,19,24,30,0,19,10,15,0,19,0,19,12,21,48,74,11,17,109,95,06,00212
"Adelanto city, California",3525,402,161,111,316,187,137,82,468,150,274,138,196,119,194,102,140,92,1314,314,325,212,06,00296
"Adin CDP, California",22,24,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,11,18,11,19,06,00310
"Agoura Hills city, California",1303,238,11,17,158,88,124,65,98,67,82,70,61,67,85,47,137,86,461,156,86,72,06,00394
"Agua Dulce CDP, California",121,74,0,14,26,25,0,14,23,38,0,14,0,14,0,14,0,14,62,57,10,17,06,00450
"Aguanga CDP, California",28,31,0,14,6,11,22,30,0,14,0,14,0,14,0,14,0,14,0,14,0,14,06,00464
"Ahwahnee CDP, California",110,82,0,14,0,14,10,16,0,14,0,14,0,14,52,81,10,17,38,37,0,14,06,00478
"Airport CDP, California",174,71,0,14,0,14,4,7,27,43,6,20,1,4,0,14,0,14,119,66,17,20,06,00535
"Alameda city, California",14794,776,755,273,1405,285,2267,330,1689,280,1735,329,1080,288,943,248,1191,293,3146,516,583,200,06,00562
"Alamo CDP, California",415,167,14,22,10,16,14,22,58,59,51,64,88,86,13,21,21,32,114,129,32,27,06,00618
"Albany city, California",3576,225,117,54,352,134,666,138,413,120,342,106,172,63,329,125,278,90,821,146,86,49,06,00674
"Albion CDP, California",66,61,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,66,61,06,00716
"Alderpoint CDP, California",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,06,00786
"Alhambra city, California",17935,605,361,132,1452,278,2003,347,2175,353,2081,311,1785,331,1044,221,1556,294,4542,486,936,193,06,00884
"Alhambra Valley CDP, California",43,47,9,16,0,14,34,53,0,14,0,14,0,14,0,14,0,14,0,14,0,14,06,00898
"Aliso Viejo city, California",8495,611,165,119,290,129,1109,341,910,267,1093,292,1220,305,483,153,824,297,2119,374,282,159,06,00947
"Alleghany CDP, California",10,17,10,17,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,06,00982
"Allendale CDP, California",134,77,0,14,0,14,9,15,0,14,19,30,15,21,0,14,30,47,28,32,33,51,06,00996
"Allensworth CDP, California",41,27,2,3,3,4,14,20,0,14,6,9,2,3,2,3,0,14,9,11,3,4,06,01010
"Almanor CDP, California",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,06,01094
"Alondra Park CDP, California",1276,139,11,18,42,56,95,58,186,116,161,86,168,97,241,112,124,86,240,111,8,15,06,01150
"Alpaugh CDP, California",130,81,0,14,16,17,0,14,6,9,5,9,6,9,37,62,0,14,40,34,20,19,06,01164
"Alpine CDP, California",1412,278,138,165,51,75,232,149,18,29,57,58,156,128,141,135,85,95,415,202,119,124,06,01192
