NAME,B25088_001E,B25088_001M,B25088_002E,B25088_002EA,B25088_002M,B25088_003E,B25088_003EA,B25088_003M,state,place
"Acalanes Ridge CDP, California",4001,-333333333,4001,"4,000+",-333333333,1229,,202,06,00135
"Acampo CDP, California",-666666666,-222222222,-666666666,-,-222222222,-666666666,-,-222222222,06,00156
"Acton CDP, California",2672,353,3308,,302,900,,212,06,00212
"Adelanto city, California",1616,102,1861,,95,616,,51,06,00296
"Adin CDP, California",255,156,-666666666,-,-222222222,223,,163,06,00310
"Agoura Hills city, California",3632,332,4001,"4,000+",-333333333,1090,,82,06,00394
"Agua Dulce CDP, California",2347,978,3470,,407,996,,687,06,00450
"Aguanga CDP, California",1096,384,3211,,661,1020,,597,06,00464
"Ahwahnee CDP, California",1285,426,2067,,261,786,,166,06,00478
"Airport CDP, California",1292,938,1488,,188,-666666666,-,-222222222,06,00535
"Alameda city, California",3011,180,3933,,137,1038,,56,06,00562
"Alamo CDP, California",4001,-333333333,4001,"4,000+",-333333333,1501,"1,500+",-333333333,06,00618
"Albany city, California",2786,334,3965,,235,1247,,39,06,00674
"Albion CDP, California",-666666666,-222222222,-666666666,-,-222222222,-666666666,-,-222222222,06,00716
"Alderpoint CDP, California",-666666666,-222222222,-666666666,-,-222222222,-666666666,-,-222222222,06,00786
"Alhambra city, California",1930,169,3050,,117,741,,31,06,00884
"Alhambra Valley CDP, California",3588,2386,4001,"4,000+",-333333333,1500,,487,06,00898
"Aliso Viejo city, California",2973,111,3303,,73,871,,56,06,00947
"Alleghany CDP, California",-666666666,-222222222,-666666666,-,-222222222,-666666666,-,-222222222,06,00982
"Allendale CDP, California",1530,1406,3977,,816,785,,382,06,00996
"Allensworth CDP, California",438,263,1375,,290,336,,62,06,01010
"Almanor CDP, California",-666666666,-222222222,-666666666,-,-222222222,-666666666,-,-222222222,06,01094
"Alondra Park CDP, California",1858,575,2574,,324,583,,160,06,01150
"Alpaugh CDP, California",558,240,-666666666,-,-222222222,513,,120,06,01164
"Alpine CDP, California",2674,201,3117,,262,1038,,126,06,01192
"Alpine Village CDP, California",1500,608,2821,,610,950,,450,06,01228
"Alta CDP, California",1614,350,2177,,635,1030,,146,06,01276
"Altadena CDP, California",2766,146,3430,,191,872,,64,06,01290
"Alta Sierra CDP (Kern County), California",-666666666,-222222222,-666666666,-,-222222222,-666666666,-,-222222222,06,01358
"Alta Sierra CDP (Nevada County), California",2165,352,2791,,204,1060,,69,06,01360
"Alto CDP, California",4001,-333333333,4001,"4,000+",-333333333,-666666666,-,-222222222,06,01416
"Alturas city, California",777,338,1500,,458,553,,78,06,01444
"Alum Rock CDP, California",2665,257,3005,,365,781,,143,06,01458
"Amador City city, California",881,408,1938,,504,550,,513,06,01514
"Amador Pines CDP, California",1729,503,2215,,232,1131,,446,06,01518
"American Canyon city, California",2479,206,3066,,185,777,,144,06,01640
"Amesti CDP, California",2052,486,2398,,208,608,,182,06,01651
"Anaheim city, California",2442,59,3038,,70,788,,26,06,02000
"Anchor Bay CDP, California",2445,1017,2917,,2729,-666666666,-,-222222222,06,02028
"Anderson city, California",1474,166,1861,,91,524,,67,06,02042
"Angels city, California",1582,354,2820,,323,803,,181,06,02112
"Angwin CDP, California",2210,968,3438,,468,1000,,462,06,02168
