NAME,B25091_001E,B25091_001M,B25091_002E,B25091_002M,B25091_003E,B25091_003M,B25091_004E,B25091_004M,B25091_005E,B25091_005M,B25091_006E,B25091_006M,B25091_007E,B25091_007M,B25091_008E,B25091_008M,B25091_009E,B25091_009M,B25091_010E,B25091_010M,B25091_011E,B25091_011M,B25091_012E,B25091_012M,B25091_013E,B25091_013M,B25091_014E,B25091_014M,B25091_015E,B25091_015M,B25091_016E,B25091_016M,B25091_017E,B25091_017M,B25091_018E,B25091_018M,B25091_019E,B25091_019M,B25091_020E,B25091_020M,B25091_021E,B25091_021M,B25091_022E,B25091_022M,B25091_023E,B25091_023M,state,place
"Acalanes Ridge CDP, California",307,90,241,80,20,32,25,30,50,41,39,38,28,33,7,12,0,14,22,32,50,38,0,14,66,45,13,16,21,33,17,26,0,14,0,14,0,14,0,14,0,14,15,24,0,14,06,00135
"Acampo CDP, California",42,67,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,42,67,42,67,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,06,00156
"Acton CDP, California",2482,211,1830,226,169,92,121,79,255,102,139,71,239,131,190,98,84,68,232,92,387,152,14,24,652,175,212,111,84,56,72,54,43,46,25,27,6,9,0,19,35,57,167,139,8,13,06,00212
"Adelanto city, California",5728,570,4257,554,121,71,535,169,635,168,431,155,523,241,606,234,342,142,442,225,600,187,22,25,1471,329,465,157,373,148,209,153,18,22,281,179,24,28,8,17,48,51,21,33,24,44,06,00296
"Adin CDP, California",58,36,2,5,0,14,0,14,0,14,0,14,0,14,0,14,2,5,0,14,0,14,0,14,56,35,45,31,0,14,0,14,0,14,11,18,0,14,0,14,0,14,0,14,0,14,06,00310
"Agoura Hills city, California",5849,339,4691,365,307,139,797,253,851,194,586,218,483,166,376,185,154,86,344,158,703,215,90,84,1158,239,486,175,223,111,155,68,81,50,18,31,23,27,32,36,11,17,83,65,46,54,06,00394
"Agua Dulce CDP, California",968,136,561,98,25,42,70,53,119,55,88,64,154,85,30,26,13,20,18,18,44,37,0,14,407,120,158,80,53,37,89,85,0,14,15,16,0,14,0,14,0,14,78,62,14,21,06,00450
"Aguanga CDP, California",288,161,44,44,0,14,0,14,6,20,38,39,0,14,0,14,0,14,0,14,0,14,0,14,244,147,77,64,50,47,58,77,0,14,0,14,59,91,0,14,0,14,0,14,0,14,06,00464
"Ahwahnee CDP, California",598,146,281,108,16,21,56,65,58,52,39,32,12,20,14,19,13,20,23,25,32,30,18,29,317,117,42,45,136,87,10,16,47,58,11,17,0,14,0,14,43,68,17,20,11,19,06,00478
"Airport CDP, California",73,50,40,31,0,14,17,21,0,14,0,14,6,16,0,14,10,17,0,14,7,11,0,14,33,45,33,45,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,06,00535
"Alameda city, California",15194,701,10338,523,764,221,1404,228,2073,361,1715,300,886,205,885,247,540,145,684,226,1376,226,11,19,4856,582,2111,314,849,217,375,112,282,92,85,58,203,105,40,35,221,231,537,254,153,207,06,00562
"Alamo CDP, California",4655,369,3136,328,268,99,624,217,466,146,354,111,288,137,217,94,146,71,308,132,447,122,18,31,1519,266,555,147,353,144,160,81,70,41,58,71,22,26,92,110,47,34,142,72,20,31,06,00618
"Albany city, California",4055,251,2550,220,250,98,387,97,473,96,292,75,361,120,86,36,150,71,103,49,448,149,0,21,1505,231,735,192,302,99,131,77,78,50,68,53,33,26,15,22,57,64,86,39,0,21,06,00674
"Albion CDP, California",89,81,32,42,0,14,0,14,0,14,0,14,32,42,0,14,0,14,0,14,0,14,0,14,57,68,0,14,0,14,0,14,40,63,0,14,0,14,17,28,0,14,0,14,0,14,06,00716
"Alderpoint CDP, California",37,58,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,37,58,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,37,58,06,00786
"Alhambra city, California",12490,562,7137,554,373,128,789,198,1359,264,1018,197,632,159,504,189,390,171,536,143,1415,351,121,76,5353,479,2444,324,874,216,470,146,351,99,108,61,165,78,112,64,256,144,522,160,51,37,06,00884
"Alhambra Valley CDP, California",297,128,187,78,0,14,10,16,16,18,11,17,96,74,0,14,0,14,0,14,54,48,0,14,110,92,27,27,0,14,35,40,0,14,0,14,0,14,0,14,0,14,48,78,0,14,06,00898
"Aliso Viejo city, California",11138,636,8705,584,652,189,1143,244,1694,341,1685,356,668,184,791,209,666,198,395,117,959,208,52,51,2433,392,1488,367,256,103,346,130,12,14,61,45,67,61,5,9,78,69,98,57,22,35,06,00947
"Alleghany CDP, California",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,06,00982
"Allendale CDP, California",479,138,240,93,16,24,11,18,61,47,17,29,0,14,65,59,19,30,10,17,41,38,0,14,239,120,109,82,75,71,0,14,55,77,0,14,0,14,0,14,0,14,0,14,0,14,06,00996
"Allensworth CDP, California",65,24,21,12,0,14,0,14,2,4,0,14,9,9,8,9,0,14,0,14,2,3,0,14,44,20,21,14,0,14,8,6,10,14,0,14,0,14,0,14,0,14,3,5,2,3,06,01010
"Almanor CDP, California",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,06,01094
"Alondra Park CDP, California",1484,218,1053,209,68,42,157,71,186,79,119,66,93,63,95,79,19,26,55,46,261,160,0,19,431,170,283,155,25,22,22,22,8,13,12,19,32,35,0,19,35,41,14,16,0,19,06,01150
"Alpaugh CDP, California",58,32,11,13,0,14,0,14,4,6,0,14,0,14,0,14,7,11,0,14,0,14,0,14,47,29,25,24,12,14,10,12,0,14,0,14,0,14,0,14,0,14,0,14,0,14,06,01164
"Alpine CDP, California",4002,380,2999,374,268,153,179,152,214,70,525,165,414,170,250,110,328,189,155,71,657,188,9,14,1003,202,304,121,145,97,143,84,61,55,73,46,33,46,14,20,16,22,174,94,40,48,06,01192
"Alpine Village CDP, California",78,29,29,21,3,5,7,13,0,14,6,8,5,9,0,14,0,14,0,14,8,7,0,14,49,21,21,14,9,10,0,14,5,6,0,14,0,14,4,6,4,6,6,7,0,14,06,01228
"Alta CDP, California",240,81,151,64,4,6,22,11,12,12,9,13,4,5,4,6,29,45,44,40,23,16,0,14,89,48,54,44,0,14,8,11,0,14,16,18,0,14,0,14,0,14,11,10,0,14,06,01276
"Altadena CDP, California",11603,636,8426,572,703,201,1295,277,1390,294,816,198,804,210,523,164,529,153,692,219,1666,409,8,12,3177,426,1436,309,551,156,222,137,274,123,88,55,83,59,81,74,42,34,321,127,79,84,06,01290
"Alta Sierra CDP (Kern County), California",12,22,12,22,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,12,22,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,06,01358
"Alta Sierra CDP (Nevada County), California",2674,313,1655,266,0,19,151,129,247,136,245,147,229,114,174,126,71,59,187,137,351,161,0,19,1019,276,261,116,290,185,86,74,145,93,0,19,0,19,0,19,31,35,161,118,45,70,06,01360
"Alto CDP, California",212,109,200,106,29,46,0,14,10,16,35,42,0,14,0,14,17,28,42,66,67,102,0,14,12,18,12,18,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,06,01416
"Alturas city, California",719,141,410,112,58,51,85,61,27,29,0,14,51,53,101,73,0,14,7,13,81,64,0,14,309,125,104,88,45,40,51,64,69,91,6,11,0,14,9,17,0,14,25,31,0,14,06,01444
"Alum Rock CDP, California",1859,276,1425,260,67,55,149,96,246,112,251,99,179,188,114,71,77,53,128,63,203,85,11,20,434,114,219,84,103,66,6,11,61,56,0,21,21,21,0,21,0,21,24,32,0,21,06,01458
"Amador City city, California",51,27,23,15,4,4,2,4,2,2,2,3,0,14,0,14,0,14,1,4,11,10,1,4,28,23,9,10,7,11,1,4,6,9,0,14,0,14,0,14,0,14,0,14,5,9,06,01514
"Amador Pines CDP, California",417,106,269,94,14,15,30,27,15,25,67,68,24,24,46,51,48,40,13,16,12,16,0,14,148,72,10,14,15,18,31,25,23,22,0,14,7,12,39,50,0,14,23,37,0,14,06,01518
"American Canyon city, California",4447,265,3197,266,270,110,275,85,579,149,572,151,389,125,296,122,114,57,246,100,456,143,0,25,1250,233,649,159,127,45,123,62,54,45,39,30,10,16,4,7,71,79,138,84,35,33,06,01640
"Amesti CDP, California",684,99,457,119,65,49,26,18,27,20,85,47,45,36,53,48,19,25,64,56,73,37,0,14,227,85,149,77,40,32,6,9,0,14,0,14,0,14,0,14,14,20,18,21,0,14,06,01651
"Anaheim city, California",49155,1466,34221,1381,2101,456,3363,485,5490,536,5302,740,4027,511,3070,452,1804,321,2817,414,6052,674,195,128,14934,858,7089,563,2398,407,1731,293,938,210,521,145,488,196,176,89,248,128,1168,244,177,91,06,02000
"Anchor Bay CDP, California",75,64,43,41,0,14,0,14,0,14,0,14,24,25,0,14,0,14,0,14,19,28,0,14,32,49,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,32,49,0,14,06,02028
"Anderson city, California",2801,241,1874,227,107,81,245,102,238,113,306,146,254,102,186,110,70,47,271,152,197,89,0,21,927,200,257,109,72,44,94,82,86,79,51,40,87,87,0,21,17,19,183,145,80,65,06,02042
"Angels city, California",1259,276,602,193,13,19,43,52,42,33,42,34,117,78,67,47,4,7,37,36,237,132,0,14,657,220,102,74,264,165,40,32,52,60,8,14,8,14,31,51,31,48,121,80,0,14,06,02112
"Angwin CDP, California",505,119,315,108,65,45,11,13,17,17,80,38,80,79,9,12,10,11,4,7,30,20,9,14,190,63,66,45,54,42,25,25,13,15,14,16,8,10,0,14,0,14,10,18,0,14,06,02168
"Antelope CDP, California",10706,616,8192,586,582,220,1075,287,1394,393,1027,189,1261,309,739,190,361,158,686,206,1067,370,0,29,2514,340,1169,221,420,157,320,132,238,214,105,74,50,51,0,29,55,40,121,76,36,31,06,02210
"Antioch city, California",23789,930,17418,949,755,176,1878,347,2851,459,2486,514,1981,355,1535,312,1354,366,1570,351,2959,490,49,55,6371,831,2870,596,1336,369,621,199,326,104,305,138,95,56,167,89,109,71,508,179,34,32,06,02252
"Anza CDP, California",559,202,217,113,17,28,69,76,0,14,104,93,0,14,0,14,13,21,0,14,14,22,0,14,342,162,48,57,59,44,76,81,12,20,14,21,11,19,0,14,0,14,90,110,32,53,06,02294
"Apple Valley town, California",17598,905,11903,613,571,188,1494,282,1872,325,1788,297,1590,347,1087,309,507,156,731,225,2218,338,45,44,5695,640,1918,344,1039,222,988,282,352,150,271,121,204,78,182,113,105,59,578,223,58,45,06,02364
"Aptos CDP, California",1779,152,1126,172,42,43,192,81,255,102,141,73,108,53,107,68,88,57,79,47,114,65,0,19,653,133,311,99,133,98,55,38,96,70,7,14,16,19,0,19,0,19,35,33,0,19,06,02378
"Aptos Hills-Larkin Valley CDP, California",658,126,367,132,20,26,67,67,50,47,11,17,25,29,45,33,29,27,54,47,66,57,0,14,291,95,141,68,102,65,0,14,16,24,21,24,0,14,0,14,0,14,11,18,0,14,06,02382
"Arbuckle CDP, California",663,188,339,127,11,17,35,32,56,41,76,58,22,24,45,55,17,26,0,14,77,74,0,14,324,159,247,156,0,14,24,29,34,54,19,30,0,14,0,14,0,14,0,14,0,14,06,02420
"Arcadia city, California",11178,580,6129,533,353,133,475,137,911,226,872,274,577,146,458,144,523,250,617,154,1308,343,35,28,5049,494,1894,302,809,177,378,129,440,212,235,89,216,127,86,62,159,107,740,231,92,61,06,02462
"Arcata city, California",2873,367,1367,276,114,68,160,82,197,79,185,100,233,114,81,55,51,39,96,58,250,140,0,21,1506,269,588,175,268,124,94,57,99,60,103,68,35,34,0,21,29,33,166,122,124,127,06,02476
