jur_clean,year,ent_units_total,bp_units_total,co_units_total,ent_affordable_total,bp_affordable_total,co_affordable_total,project_rows,ent_very_low_total,ent_low_total,ent_moderate_total,ent_above_moderate_total,bp_very_low_total,bp_low_total,bp_moderate_total,bp_above_moderate_total,co_very_low_total,co_low_total,co_moderate_total,co_above_moderate_total,ent_affordable_share,bp_affordable_share,co_affordable_share,reporting_status
carlsbad,2018,63,243,218,15,33,25,150,0,3,12,48,0,5,28,210,0,4,21,193,0.23809523809523808,0.13580246913580246,0.11467889908256881,reported
carlsbad,2019,46,322,548,5,110,189,121,0,0,5,41,2,49,59,212,0,111,78,359,0.10869565217391304,0.3416149068322981,0.3448905109489051,reported
carlsbad,2020,756,377,551,147,117,49,141,7,127,13,609,46,32,39,260,2,23,24,502,0.19444444444444445,0.3103448275862069,0.08892921960072596,reported
carlsbad,2021,362,150,409,81,74,121,173,0,63,18,281,2,7,65,76,1,50,70,288,0.22375690607734808,0.49333333333333335,0.29584352078239606,reported
carlsbad,2022,52,125,220,19,82,115,286,0,0,19,33,0,0,82,43,48,2,65,105,0.36538461538461536,0.656,0.5227272727272727,reported
carlsbad,2023,277,640,65,50,296,46,266,20,13,17,227,44,158,94,344,0,0,46,19,0.18050541516245489,0.4625,0.7076923076923077,reported
carlsbad,2024,254,289,234,40,68,154,346,27,0,13,214,3,14,51,221,0,87,67,80,0.15748031496062992,0.23529411764705882,0.6581196581196581,reported
carlsbad,2025,202,343,718,13,36,141,428,11,0,2,189,16,19,1,307,45,84,12,577,0.06435643564356436,0.10495626822157435,0.19637883008356546,reported
chula vista,2018,0,1777,206,0,0,0,706,0,0,0,0,0,0,0,1777,0,0,0,206,,0.0,0.0,reported
chula vista,2019,246,840,1370,0,0,0,918,0,0,0,246,0,0,0,840,0,0,0,1370,0.0,0.0,0.0,reported
chula vista,2020,0,960,1255,0,0,30,689,0,0,0,0,0,0,0,960,0,0,30,1225,,0.0,0.02390438247011952,reported
chula vista,2021,0,1756,765,0,151,41,570,0,0,0,0,28,0,123,1605,0,0,41,724,,0.08599088838268792,0.05359477124183006,reported
chula vista,2022,0,1178,1341,0,546,74,541,0,0,0,0,95,276,175,632,0,0,74,1267,,0.4634974533106961,0.055182699478001494,reported
chula vista,2023,1887,879,1062,96,254,80,608,0,96,0,1791,0,58,196,625,0,0,80,982,0.05087440381558029,0.28896473265073946,0.07532956685499058,reported
chula vista,2024,252,1643,1348,0,282,331,778,0,0,0,252,14,41,227,1361,42,213,76,1017,0.0,0.17163724893487523,0.24554896142433236,reported
chula vista,2025,1323,717,1428,0,224,201,663,0,0,0,1323,0,2,222,493,0,1,200,1227,0.0,0.3124128312412831,0.1407563025210084,reported
coronado,2018,0,15,20,0,0,0,24,0,0,0,0,0,0,0,15,0,0,0,20,,0.0,0.0,reported
coronado,2019,0,28,27,0,0,0,46,0,0,0,0,0,0,0,28,0,0,0,27,,0.0,0.0,reported
coronado,2020,29,29,51,0,0,0,48,0,0,0,29,0,0,0,29,0,0,0,51,0.0,0.0,0.0,reported
coronado,2021,48,50,25,0,0,0,71,0,0,0,48,0,0,0,50,0,0,0,25,0.0,0.0,0.0,reported
coronado,2022,46,52,30,0,0,0,70,0,0,0,46,0,0,0,52,0,0,0,30,0.0,0.0,0.0,reported
coronado,2023,38,38,30,0,0,0,55,0,0,0,38,0,0,0,38,0,0,0,30,0.0,0.0,0.0,reported
coronado,2024,41,40,42,0,0,0,53,0,0,0,41,0,0,0,40,0,0,0,42,0.0,0.0,0.0,reported
coronado,2025,27,24,36,0,0,0,54,0,0,0,27,0,0,0,24,0,0,0,36,0.0,0.0,0.0,reported
del mar,2018,10,1,1,3,1,0,5,0,2,1,7,0,0,1,0,0,0,0,1,0.3,1.0,0.0,reported
del mar,2019,1,5,1,0,4,1,7,0,0,0,1,0,1,3,1,0,0,1,0,0.0,0.8,1.0,reported
del mar,2020,28,15,3,26,14,3,28,0,0,26,2,0,0,14,1,0,0,3,0,0.9285714285714286,0.9333333333333333,1.0,reported
del mar,2021,32,24,6,31,14,5,46,0,0,31,1,0,0,14,10,0,1,4,1,0.96875,0.5833333333333334,0.8333333333333334,reported
del mar,2022,23,26,19,16,15,14,53,0,0,16,7,0,0,15,11,0,0,14,5,0.6956521739130435,0.5769230769230769,0.7368421052631579,reported
del mar,2023,82,27,23,26,15,15,66,4,6,16,56,0,0,15,12,0,0,15,8,0.3170731707317073,0.5555555555555556,0.6521739130434783,reported
del mar,2024,20,20,21,13,11,12,50,0,0,13,7,0,0,11,9,0,0,12,9,0.65,0.55,0.5714285714285714,reported
del mar,2025,9,14,17,8,11,10,43,0,0,8,1,0,0,11,3,0,0,10,7,0.8888888888888888,0.7857142857142857,0.5882352941176471,reported
el cajon,2018,36,168,53,2,74,0,159,2,0,0,34,0,74,0,94,0,0,0,53,0.05555555555555555,0.44047619047619047,0.0,reported
el cajon,2019,110,232,184,84,85,75,231,0,84,0,26,0,85,0,147,29,46,0,109,0.7636363636363637,0.36637931034482757,0.4076086956521739,reported
el cajon,2020,113,41,34,113,0,0,81,0,113,0,0,0,0,0,41,0,0,0,34,1.0,0.0,0.0,reported
el cajon,2021,132,155,165,0,129,116,87,0,0,0,132,0,117,12,26,0,113,3,49,0.0,0.832258064516129,0.703030303030303,reported
el cajon,2022,32,71,38,0,39,19,95,0,0,0,32,0,4,35,32,0,1,18,19,0.0,0.5492957746478874,0.5,reported
el cajon,2023,84,139,50,84,59,37,119,0,84,0,0,0,26,33,80,0,7,30,13,1.0,0.4244604316546763,0.74,reported
el cajon,2024,175,210,87,19,125,37,151,0,2,17,156,0,96,29,85,0,20,17,50,0.10857142857142857,0.5952380952380952,0.42528735632183906,reported
el cajon,2025,99,210,235,40,83,123,164,0,4,36,59,0,38,45,127,0,99,24,112,0.40404040404040403,0.3952380952380952,0.5234042553191489,reported
encinitas,2018,0,148,3,0,17,3,148,0,0,0,0,8,2,7,131,1,0,2,0,,0.11486486486486487,1.0,reported
encinitas,2019,77,188,140,5,55,6,312,5,0,0,72,15,8,32,133,4,0,2,134,0.06493506493506493,0.2925531914893617,0.04285714285714286,reported
encinitas,2020,42,201,168,1,65,51,335,1,0,0,41,28,6,31,136,16,8,27,117,0.023809523809523808,0.32338308457711445,0.30357142857142855,reported
encinitas,2021,500,153,159,93,52,64,277,48,43,2,407,23,4,25,101,32,7,25,95,0.186,0.33986928104575165,0.4025157232704403,reported
encinitas,2022,593,157,115,102,62,32,257,0,102,0,491,18,4,40,95,14,3,15,83,0.17200674536256325,0.39490445859872614,0.2782608695652174,reported
encinitas,2023,524,279,121,115,68,42,343,7,106,2,409,32,13,23,211,22,2,18,79,0.21946564885496184,0.24372759856630824,0.34710743801652894,reported
encinitas,2024,863,701,264,133,127,54,504,33,91,9,730,56,51,20,574,18,13,23,210,0.1541135573580533,0.181169757489301,0.20454545454545456,reported
encinitas,2025,277,187,228,40,33,43,461,0,31,9,237,17,2,14,154,25,3,15,185,0.1444043321299639,0.17647058823529413,0.18859649122807018,reported
escondido,2018,54,240,279,41,20,76,97,4,5,32,13,1,1,18,220,65,0,11,203,0.7592592592592593,0.08333333333333333,0.2724014336917563,reported
escondido,2019,533,37,352,44,27,57,107,19,4,21,489,5,2,20,10,33,19,5,295,0.0825515947467167,0.7297297297297297,0.16193181818181818,reported
escondido,2020,183,262,126,73,36,25,113,17,16,40,110,7,2,27,226,3,3,19,101,0.3989071038251366,0.13740458015267176,0.1984126984126984,reported
escondido,2021,825,433,210,167,107,27,403,32,64,71,658,36,40,31,326,8,1,18,183,0.20242424242424242,0.2471131639722864,0.12857142857142856,reported
escondido,2022,490,231,263,279,77,36,408,61,209,9,211,25,39,13,154,8,14,14,227,0.5693877551020409,0.3333333333333333,0.13688212927756654,reported
escondido,2023,365,608,182,107,87,110,279,37,41,29,258,42,34,11,521,46,51,13,72,0.29315068493150687,0.14309210526315788,0.6043956043956044,reported
escondido,2024,168,408,246,41,105,73,331,18,14,9,127,55,42,8,303,33,31,9,173,0.24404761904761904,0.25735294117647056,0.2967479674796748,reported
escondido,2025,352,514,604,233,246,66,396,118,109,6,119,117,118,11,268,32,30,4,538,0.6619318181818182,0.4785992217898833,0.10927152317880795,reported
imperial beach,2018,0,64,34,0,0,0,25,0,0,0,0,0,0,0,64,0,0,0,34,,0.0,0.0,reported
imperial beach,2019,83,28,67,5,0,0,67,5,0,0,78,0,0,0,28,0,0,0,67,0.060240963855421686,0.0,0.0,reported
imperial beach,2020,18,35,7,0,0,0,47,0,0,0,18,0,0,0,35,0,0,0,7,0.0,0.0,0.0,reported
imperial beach,2021,26,41,9,0,0,0,53,0,0,0,26,0,0,0,41,0,0,0,9,0.0,0.0,0.0,reported
imperial beach,2022,10,43,25,0,0,0,65,0,0,0,10,0,0,0,43,0,0,0,25,0.0,0.0,0.0,reported
imperial beach,2023,76,29,31,3,0,0,62,2,1,0,73,0,0,0,29,0,0,0,31,0.039473684210526314,0.0,0.0,reported
imperial beach,2024,70,29,29,6,0,0,61,3,0,3,64,0,0,0,29,0,0,0,29,0.08571428571428572,0.0,0.0,reported
imperial beach,2025,45,71,13,0,0,0,86,0,0,0,45,0,0,0,71,0,0,0,13,0.0,0.0,0.0,reported
la mesa,2018,110,122,29,9,0,0,40,9,0,0,101,0,0,0,122,0,0,0,29,0.08181818181818182,0.0,0.0,reported
la mesa,2019,248,181,59,10,13,0,55,10,0,0,238,0,13,0,168,0,0,0,59,0.04032258064516129,0.0718232044198895,0.0,reported
la mesa,2020,129,280,104,5,37,12,84,5,0,0,124,10,0,27,243,0,10,2,92,0.03875968992248062,0.13214285714285715,0.11538461538461539,reported
la mesa,2021,220,141,187,154,70,42,118,68,86,0,66,5,0,65,71,0,3,39,145,0.7,0.49645390070921985,0.22459893048128343,reported
la mesa,2022,64,258,40,8,207,39,113,8,0,0,56,0,115,92,51,0,0,39,1,0.125,0.8023255813953488,0.975,reported
la mesa,2023,154,217,142,17,110,50,188,7,10,0,137,7,14,89,107,4,4,42,92,0.11038961038961038,0.5069124423963134,0.352112676056338,reported
la mesa,2024,18,186,120,2,117,77,210,2,0,0,16,4,16,97,69,1,14,62,43,0.1111111111111111,0.6290322580645161,0.6416666666666667,reported
la mesa,2025,78,254,249,11,99,215,223,0,0,11,67,8,22,69,155,60,93,62,34,0.14102564102564102,0.38976377952755903,0.8634538152610441,reported
