NAME,population_total,housing_units_total,owner_occupied,renter_occupied,state,place,jur_clean
"Carlsbad city, California",114373,47314,27688,16350,06,11194,carlsbad
"Chula Vista city, California",276375,90273,51281,34429,06,13392,chula vista
"Coronado city, California",19015,9896,3991,3312,06,16378,coronado
"Del Mar city, California",3903,2550,987,868,06,18506,del mar
"El Cajon city, California",104449,35185,14066,19824,06,21712,el cajon
"Encinitas city, California",61480,26230,15900,8027,06,22678,encinitas
"Escondido city, California",149668,52239,26889,23457,06,22804,escondido
"Imperial Beach city, California",25764,10299,2928,6412,06,36294,imperial beach
"La Mesa city, California",60797,26212,11933,13105,06,40004,la mesa
"Lemon Grove city, California",27686,9391,4750,4301,06,41124,lemon grove
"National City city, California",58893,19414,6330,11887,06,50398,national city
"Oceanside city, California",172242,66997,36141,25806,06,53322,oceanside
"Poway city, California",48713,16936,12347,4076,06,58520,poway
"San Diego city, California",1389526,568668,251100,279312,06,66000,san diego
"San Marcos city, California",94882,32557,19976,11374,06,68196,san marcos
"Santee city, California",59332,21851,15345,5851,06,70224,santee
"Solana Beach city, California",12823,6624,3844,1838,06,72506,solana beach
"Vista city, California",99114,33536,16703,15620,06,82996,vista
