Jurisdiction,Planning Period,6th Cycle Started,VLI UNITS,RHNA VLI,VLI %,LI UNITS,RHNA LI,LI %,MOD UNITS,RHNA MOD,MOD %,ABOVE MOD UNITS,RHNA ABOVE MOD,ABOVE MOD %
ALAMEDA,01/31/2023 - 01/31/2031,TRUE,155,1421,0.11,47,818,0.06,55,868,0.06,192,2246,0.09
AGOURA HILLS,10/15/2021 - 10/15/2029,TRUE,44,127,0.35,10,72,0.14,6,55,0.11,277,64,4.33
AMERICAN CANYON,01/31/2023 - 01/31/2031,TRUE,11,169,0.07,5,109,0.05,2,95,0.02,487,249,1.96
ALPINE COUNTY,08/31/2019 - 06/30/2024,TRUE,0,1,0.00,0,1,0.00,2,0,0.00,33,0,0.00
ALHAMBRA,10/15/2021 - 10/15/2029,TRUE,21,1774,0.01,26,1036,0.03,1,1079,0.00,636,2936,0.22
ALISO VIEJO,10/15/2021 - 10/15/2029,TRUE,0,390,0.00,0,214,0.00,1,205,0.00,2,386,0.01
AMADOR,09/15/2021 - 09/15/2029,TRUE,0,1,0.00,0,1,0.00,0,1,0.00,3,2,1.50
ALAMEDA COUNTY,01/31/2023 - 01/31/2031,TRUE,171,1251,0.14,177,721,0.25,97,763,0.13,214,1958,0.11
BISHOP,04/30/2021 - 04/30/2029,TRUE,0,24,0.00,12,20,0.60,11,21,0.52,16,53,0.30
ARROYO GRANDE,12/31/2020 - 12/31/2028,TRUE,0,170,0.00,97,107,0.91,36,124,0.29,41,291,0.14
AMADOR COUNTY,09/15/2021 - 09/15/2029,TRUE,7,109,0.06,21,62,0.34,72,72,1.00,95,134,0.71
ALBANY,01/31/2023 - 01/31/2031,TRUE,28,308,0.09,17,178,0.10,16,175,0.09,190,453,0.42
BALDWIN PARK,10/15/2021 - 10/15/2029,TRUE,0,576,0.00,91,275,0.33,0,263,0.00,319,887,0.36
BRADBURY,10/15/2021 - 10/15/2029,TRUE,0,16,0.00,0,9,0.00,0,9,0.00,11,7,1.57
ANAHEIM,10/15/2021 - 10/15/2029,TRUE,467,3767,0.12,367,2397,0.15,302,2945,0.10,1599,8344,0.19
ANGELS CAMP,06/15/2019 - 06/15/2027,TRUE,0,57,0.00,0,42,0.00,0,38,0.00,11,107,0.10
ADELANTO,10/15/2021 - 10/15/2029,TRUE,0,394,0.00,12,566,0.02,1,651,0.00,157,2152,0.07
BELLFLOWER,10/15/2021 - 10/15/2029,TRUE,0,1015,0.00,0,488,0.00,0,553,0.00,127,1679,0.08
ATWATER,01/31/2024 - 01/31/2032,TRUE,0,768,0.00,0,526,0.00,0,508,0.00,15,1215,0.01
BRAWLEY,10/15/2021 - 10/15/2029,TRUE,0,399,0.00,80,210,0.38,32,202,0.16,46,615,0.07
BURBANK,10/15/2021 - 10/15/2029,TRUE,182,2553,0.07,377,1418,0.27,154,1409,0.11,998,3392,0.29
ARCADIA,10/15/2021 - 10/15/2029,TRUE,26,1102,0.02,0,570,0.00,0,605,0.00,820,937,0.88
AVALON,10/15/2021 - 10/15/2029,TRUE,0,8,0.00,0,5,0.00,0,3,0.00,15,11,1.36
CALAVERAS COUNTY,06/15/2019 - 06/15/2027,TRUE,19,268,0.07,35,178,0.20,192,168,1.14,287,482,0.60
BRISBANE,01/31/2023 - 01/31/2031,TRUE,6,317,0.02,4,183,0.02,4,303,0.01,3,785,0.00
ARCATA,08/31/2019 - 08/31/2027,TRUE,167,142,1.18,84,95,0.88,145,111,1.31,137,262,0.52
ALTURAS,08/31/2019 - 06/30/2024,TRUE,0,2,0.00,1,1,1.00,1,1,1.00,1,3,0.33
BELVEDERE,01/31/2023 - 01/31/2031,TRUE,13,49,0.27,3,28,0.11,12,23,0.52,5,60,0.08
BERKELEY,01/31/2023 - 01/31/2031,TRUE,209,2446,0.09,213,1408,0.15,105,1416,0.07,1081,3664,0.30
ANTIOCH,01/31/2023 - 01/31/2031,TRUE,40,792,0.05,40,456,0.09,38,493,0.08,797,1275,0.63
BELL,10/15/2021 - 10/15/2029,TRUE,0,43,0.00,22,24,0.92,0,29,0.00,25,133,0.19
BREA,10/15/2021 - 10/15/2029,TRUE,0,669,0.00,0,393,0.00,3,403,0.01,61,900,0.07
ARVIN,12/31/2023 - 12/31/2031,TRUE,0,124,0.00,0,79,0.00,5,268,0.02,34,703,0.05
BELL GARDENS,10/15/2021 - 10/15/2029,TRUE,0,100,0.00,0,29,0.00,0,72,0.00,166,302,0.55
BEAUMONT,10/15/2021 - 10/15/2029,TRUE,0,1229,0.00,0,721,0.00,0,723,0.00,1227,1537,0.80
BENICIA,01/31/2023 - 01/31/2031,TRUE,2,212,0.01,2,127,0.02,1,123,0.01,28,288,0.10
ARTESIA,10/15/2021 - 10/15/2029,TRUE,0,312,0.00,0,168,0.00,32,128,0.25,109,461,0.24
BRENTWOOD,01/31/2023 - 01/31/2031,TRUE,20,402,0.05,20,232,0.09,25,247,0.10,245,641,0.38
CALEXICO,10/15/2021 - 10/15/2029,TRUE,0,1279,0.00,250,655,0.38,52,614,0.08,13,2320,0.01
CERRITOS,10/15/2021 - 10/15/2029,TRUE,10,679,0.01,0,345,0.00,9,332,0.03,21,552,0.04
ATASCADERO,12/31/2020 - 12/31/2028,TRUE,5,207,0.02,108,131,0.82,119,151,0.79,160,354,0.45
BELMONT,01/31/2023 - 01/31/2031,TRUE,80,488,0.16,98,281,0.35,25,283,0.09,16,733,0.02
AUBURN,05/15/2021 - 05/15/2029,TRUE,0,68,0.00,0,41,0.00,14,60,0.23,71,141,0.50
ATHERTON,01/31/2023 - 01/31/2031,TRUE,19,94,0.20,15,54,0.28,8,56,0.14,93,144,0.65
CATHEDRAL,10/15/2021 - 10/15/2029,TRUE,15,540,0.03,42,353,0.12,23,457,0.05,433,1199,0.36
BEVERLY HILLS,10/15/2021 - 10/15/2029,TRUE,10,1008,0.01,23,680,0.03,5,602,0.01,257,814,0.32
BUELLTON,02/15/2023 - 02/15/2031,TRUE,140,55,2.55,45,37,1.22,9,30,0.30,7,43,0.16
CARLSBAD,04/30/2021 - 04/30/2029,TRUE,65,1311,0.05,198,784,0.25,293,749,0.39,991,1029,0.96
COACHELLA,10/15/2021 - 10/15/2029,TRUE,43,1033,0.04,413,999,0.41,0,1367,0.00,454,4487,0.10
CALISTOGA,01/31/2023 - 01/31/2031,TRUE,2,31,0.06,2,19,0.11,0,19,0.00,56,50,1.12
CLAREMONT,10/15/2021 - 10/15/2029,TRUE,63,556,0.11,62,310,0.20,23,297,0.08,118,548,0.22
CAMPBELL,01/31/2023 - 01/31/2031,TRUE,42,752,0.06,43,434,0.10,43,499,0.09,132,1292,0.10
CLOVERDALE,01/31/2023 - 01/31/2031,TRUE,54,86,0.63,44,55,0.80,3,45,0.07,29,149,0.19
BUENA PARK,10/15/2021 - 10/15/2029,TRUE,75,2119,0.04,82,1343,0.06,53,1573,0.03,140,3884,0.04
AZUSA,10/15/2021 - 10/15/2029,TRUE,0,760,0.00,0,368,0.00,0,382,0.00,151,1141,0.13
CALABASAS,10/15/2021 - 10/15/2029,TRUE,18,132,0.14,4,71,0.06,6,70,0.09,107,81,1.32
COLFAX,05/15/2021 - 05/15/2029,TRUE,0,17,0.00,0,11,0.00,5,21,0.24,9,48,0.19
BAKERSFIELD,12/31/2023 - 12/31/2031,TRUE,96,11129,0.01,148,7082,0.02,6,5317,0.00,3608,13933,0.26
BUTTE COUNTY,06/15/2022 - 06/15/2030,TRUE,93,272,0.34,0,361,0.00,86,998,0.09,679,2157,0.31
CALIPATRIA,10/15/2021 - 10/15/2029,TRUE,0,36,0.00,8,21,0.38,4,16,0.25,0,78,0.00
COSTA MESA,10/15/2021 - 10/15/2029,TRUE,233,2919,0.08,176,1794,0.10,70,2088,0.03,83,4959,0.02
CERES,12/31/2023 - 12/31/2031,TRUE,0,706,0.00,0,489,0.00,0,661,0.00,64,1505,0.04
BANNING,10/15/2021 - 10/15/2029,TRUE,0,317,0.00,0,193,0.00,0,280,0.00,279,883,0.32
BIG BEAR LAKE,10/15/2021 - 10/15/2029,TRUE,0,50,0.00,0,33,0.00,0,37,0.00,65,92,0.71
CITRUS HEIGHTS,05/15/2021 - 05/15/2029,TRUE,150,132,1.14,238,79,3.01,14,144,0.10,353,342,1.03
DINUBA,12/31/2023 - 12/31/2031,TRUE,4,387,0.01,5,238,0.02,20,268,0.07,160,695,0.23
CHINO HILLS,10/15/2021 - 10/15/2029,TRUE,12,1388,0.01,21,821,0.03,24,789,0.03,263,731,0.36
COMMERCE,10/15/2021 - 10/15/2029,TRUE,0,55,0.00,3,22,0.14,2,39,0.05,3,131,0.02
CLAYTON,01/31/2023 - 01/31/2031,TRUE,2,170,0.01,2,97,0.02,1,84,0.01,6,219,0.03
COALINGA,12/31/2023 - 12/31/2031,TRUE,0,157,0.00,1,96,0.01,0,89,0.00,0,224,0.00
COVINA,10/15/2021 - 10/15/2029,TRUE,61,614,0.10,52,268,0.19,172,281,0.61,325,747,0.44
COLUSA,12/31/2020 - 12/31/2028,TRUE,76,76,1.00,20,64,0.31,80,79,1.01,7,160,0.04
COLTON,10/15/2021 - 10/15/2029,TRUE,0,1318,0.00,0,668,0.00,42,906,0.05,155,2542,0.06
CUDAHY,10/15/2021 - 10/15/2029,TRUE,140,80,1.75,0,36,0.00,0,53,0.00,112,224,0.50
